flight_date,from,to,avg_weeks,std_weeks,target
6/19/2012,ORD,DFW,12.875,9.812647119,12.33129622
9/10/2012,LAS,DEN,14.28571429,9.466733736,10.77518151
10/5/2012,DEN,LAX,10.86363636,9.035883252,11.08317675
10/9/2011,ATL,ORD,11.48,7.990202334,11.16926784
2/21/2012,DEN,SFO,11.45,9.517159019,11.26936373
10/20/2011,SFO,LAS,15.26666667,9.808277058,11.17393612
1/28/2012,EWR,ORD,8.588235294,6.165010376,9.5999524
5/27/2012,ATL,CLT,10.23809524,6.609877169,9.175645143
4/25/2012,ATL,MSP,12.6,9.725396307,10.76939863
6/23/2012,IAH,LAX,13.62962963,9.178353079,10.26730984
9/12/2011,LAX,ORD,12.80769231,8.129055201,12.66755768
3/4/2012,ATL,DEN,10.56521739,7.590820335,10.561284
1/10/2012,ORD,PHX,13.76,9.95523313,10.64980794
6/15/2012,EWR,MCO,12.875,9.665323495,10.51539476
2/3/2012,ATL,MSP,9.842105263,7.819229558,10.91421574
12/2/2011,ORD,DTW,9.833333333,8.304853294,11.25155953
8/27/2012,JFK,MIA,16.06896552,10.34729445,10.21347175
4/16/2012,PHL,DFW,6.153846154,4.180234321,11.36435988
11/12/2012,EWR,BOS,11,8.711758539,11.74051847
9/8/2011,ATL,PHL,8.684210526,6.700353486,11.55241587
10/24/2012,LAS,JFK,14.03571429,8.971073444,11.40186904
4/16/2012,ORD,EWR,8.133333333,6.289068369,12.11351279
3/14/2012,PHL,ATL,8.176470588,6.616601225,11.52943847
7/24/2012,EWR,SFO,13.96,10.92199615,10.62494123
11/19/2011,SFO,ATL,9.526315789,6.653056282,9.765837305
5/2/2012,JFK,MCO,13.85185185,9.247468276,10.63741603
4/28/2012,SEA,ORD,7.625,4.964876635,9.755890744
8/31/2012,LAS,JFK,17.62162162,11.68653392,11.12193089
2/11/2012,MIA,LGA,13.78947368,13.22698818,10.26730984
8/1/2012,ORD,DTW,10.65,9.836960378,11.40186904
10/13/2012,LAX,JFK,17,11.21733353,12.79301549
8/2/2012,SFO,ORD,16.03333333,11.62186801,12.30859847
8/16/2012,ORD,SFO,18.48484848,13.49565025,12.34378774
3/21/2012,BOS,ORD,7.8,6.037975063,11.92700783
9/4/2012,DEN,SEA,13,9.334368473,10.99291838
7/12/2012,BOS,EWR,12.09090909,9.231979053,11.59381966
1/7/2012,PHL,BOS,5.545454545,4.227614844,7.785131052
9/1/2012,LAX,EWR,13.16666667,9.959337618,10.32699416
12/12/2011,ATL,ORD,10.63157895,9.917495911,12.06210132
7/23/2012,ORD,DEN,14.03703704,9.705198771,11.58261857
3/6/2012,DFW,ORD,6.928571429,5.014813222,12.16902211
1/25/2012,PHL,DFW,5.454545455,4.156047073,10.42705517
7/24/2012,MSP,DEN,11.08695652,8.145902726,10.93022421
3/7/2012,ATL,MCO,11.08695652,8.45261145,11.84099029
10/19/2012,BOS,EWR,13.26086957,10.72048757,11.20629091
10/30/2011,ORD,MSP,8.631578947,6.49110953,11.03859354
12/25/2011,EWR,LAX,12.81818182,8.671993035,10.00741517
9/4/2012,DEN,DFW,9.111111111,6.08652213,11.52943847
3/9/2012,ORD,LAX,13.25,10.01412047,12.02111119
10/2/2011,CLT,LGA,11.40909091,7.920191742,10.72247853
10/28/2012,MCO,ATL,13.25925926,9.800284896,11.02853973
9/15/2011,ORD,DTW,9.647058824,7.557621786,11.71975785
7/19/2012,ORD,DFW,11.13043478,7.027894731,12.93429774
5/20/2012,LAX,DEN,11.79166667,9.357532036,11.41010294
8/28/2012,PHX,DEN,11.26315789,9.15206173,10.84321248
5/17/2012,CLT,ATL,9.95,8.255620095,11.11231759
8/13/2012,ORD,SEA,16.59375,10.9569815,11.35592107
10/25/2012,DFW,PHL,11.57142857,9.135488102,11.57511363
2/12/2012,MIA,ATL,14.75,10.77935269,10.37053642
10/11/2011,ORD,EWR,11.23809524,8.514133907,12.13312954
5/16/2012,JFK,LAX,16.91428571,11.74827003,13.69531188
3/19/2012,LAS,ORD,12.625,9.792688044,11.150477
7/16/2012,MCO,PHL,13.57692308,9.533826417,10.22125872
9/12/2012,BOS,LGA,5,4.156047073,13.40480635
3/9/2012,DFW,DEN,7.133333333,4.718756898,11.23358372
11/5/2011,ATL,PHL,12.54166667,10.2149897,9.954379112
1/20/2012,DEN,DFW,10.15,7.005824644,11.46275505
10/26/2011,ATL,LAX,13.15384615,8.670373961,11.30011786
9/24/2011,PHL,ORD,11.36363636,7.877305888,10.44781578
2/17/2012,DEN,SFO,12.77272727,9.748903812,10.98261462
11/30/2011,DTW,ATL,9.105263158,5.801290439,10.79242331
12/19/2011,JFK,MIA,15.39285714,11.46763331,10.83763706
